episode;reward0;avg_reward0;t_global;cr;;avg_reward;avg_avg_reward
409;197.0;169.5;29785.0;317.0;;197.0;169.5
410;200.0;170.2;29959.0;319.0;;200.0;170.2
411;183.0;170.7;30133.0;321.0;;183.0;170.7
412;200.0;171.1;30307.0;323.0;;200.0;171.1
413;200.0;171.8;30568.0;326.0;;200.0;171.8
414;200.0;172.3;30742.0;328.0;;200.0;172.3
415;200.0;173.0;30916.0;330.0;;200.0;173.0
416;179.0;173.4;31090.0;332.0;;179.0;173.4
417;200.0;173.8;31351.0;335.0;;200.0;173.8
418;200.0;174.6;31525.0;337.0;;200.0;174.6
419;200.0;175.3;31697.0;339.0;;200.0;175.3
420;200.0;176.2;31955.0;342.0;;200.0;176.2
421;200.0;177.0;32127.0;344.0;;200.0;177.0
422;200.0;177.7;32299.0;346.0;;200.0;177.7
423;200.0;178.2;32557.0;349.0;;200.0;178.2
424;198.0;178.7;32729.0;351.0;;198.0;178.7
425;200.0;179.4;32901.0;353.0;;200.0;179.4
426;200.0;179.8;33159.0;356.0;;200.0;179.8
427;200.0;180.4;33331.0;358.0;;200.0;180.4
428;200.0;181.0;33503.0;360.0;;200.0;181.0
429;200.0;181.6;33760.0;363.0;;200.0;181.6
430;185.0;182.2;33930.0;365.0;;185.0;182.2
431;200.0;182.9;34100.0;367.0;;200.0;182.9
432;200.0;183.5;34270.0;369.0;;200.0;183.5
433;200.0;184.0;34525.0;372.0;;200.0;184.0
434;200.0;184.7;34695.0;374.0;;200.0;184.7
435;200.0;185.1;34950.0;377.0;;200.0;185.1
436;200.0;185.8;35120.0;379.0;;200.0;185.8
437;200.0;186.3;35290.0;381.0;;200.0;186.3
438;200.0;186.6;35545.0;384.0;;200.0;186.6
439;200.0;187.2;35715.0;386.0;;200.0;187.2
440;200.0;187.8;35884.0;388.0;;200.0;187.8
441;200.0;188.3;36136.0;391.0;;200.0;188.3
442;200.0;188.8;36304.0;393.0;;200.0;188.8
443;200.0;189.3;36472.0;395.0;;200.0;189.3
444;184.0;189.1;36724.0;398.0;;184.0;189.1
445;200.0;189.4;36892.0;400.0;;200.0;189.4
446;200.0;189.4;37060.0;402.0;;200.0;189.4
447;200.0;189.5;37312.0;405.0;;200.0;189.5
448;200.0;190.1;37480.0;407.0;;200.0;190.1
449;200.0;190.7;37732.0;410.0;;200.0;190.7
450;200.0;191.3;37900.0;412.0;;200.0;191.3
451;200.0;191.5;38066.0;414.0;;200.0;191.5
452;200.0;192.0;38315.0;417.0;;200.0;192.0
453;200.0;192.1;38481.0;419.0;;200.0;192.1
454;200.0;192.7;38730.0;422.0;;200.0;192.7
455;200.0;192.8;38896.0;424.0;;200.0;192.8
456;200.0;193.1;39062.0;426.0;;200.0;193.1
457;200.0;193.1;39311.0;429.0;;200.0;193.1
458;200.0;193.1;39477.0;431.0;;200.0;193.1
459;200.0;193.1;39726.0;434.0;;200.0;193.1
460;200.0;193.1;39892.0;436.0;;200.0;193.1
461;200.0;193.1;40057.0;438.0;;200.0;193.1
462;200.0;193.1;40303.0;441.0;;200.0;193.1
463;200.0;193.4;40467.0;443.0;;200.0;193.4
464;200.0;193.6;40713.0;446.0;;200.0;193.6
465;200.0;193.6;40877.0;448.0;;200.0;193.6
466;200.0;193.7;41123.0;451.0;;200.0;193.7
467;200.0;193.7;41287.0;453.0;;200.0;193.7
468;200.0;193.7;41533.0;456.0;;200.0;193.7
469;200.0;193.7;41697.0;458.0;;200.0;193.7
470;200.0;193.7;41861.0;460.0;;200.0;193.7
471;200.0;193.7;42106.0;463.0;;200.0;193.7
472;200.0;193.7;42268.0;465.0;;200.0;193.7
473;200.0;193.7;42511.0;468.0;;200.0;193.7
474;200.0;194.1;42673.0;470.0;;200.0;194.1
475;200.0;194.2;42916.0;473.0;;200.0;194.2
476;200.0;194.2;43078.0;475.0;;200.0;194.2
477;200.0;194.2;43321.0;478.0;;200.0;194.2
478;200.0;194.2;43483.0;480.0;;200.0;194.2
479;200.0;194.2;43726.0;483.0;;200.0;194.2
480;200.0;194.3;43888.0;485.0;;200.0;194.3
481;200.0;194.6;44130.0;488.0;;200.0;194.6
482;200.0;194.6;44290.0;490.0;;200.0;194.6
483;200.0;194.8;44530.0;493.0;;200.0;194.8
484;200.0;194.8;44690.0;495.0;;200.0;194.8
485;200.0;195.0;44930.0;498.0;;200.0;195.0
486;200.0;195.1;45090.0;500.0;;200.0;195.1
487;200.0;195.2;45330.0;503.0;;200.0;195.2
488;188.0;195.2;45490.0;505.0;;188.0;195.2
489;200.0;195.4;45650.0;507.0;;200.0;195.4
490;200.0;195.4;45890.0;510.0;;200.0;195.4
491;200.0;195.7;46050.0;512.0;;200.0;195.7
492;200.0;196.0;46290.0;515.0;;200.0;196.0
493;200.0;196.1;46450.0;517.0;;200.0;196.1
494;200.0;196.2;46690.0;520.0;;200.0;196.2
495;200.0;196.2;46850.0;522.0;;200.0;196.2
496;193.0;196.8;47090.0;525.0;;193.0;196.8
497;200.0;197.3;47250.0;527.0;;200.0;197.3
498;200.0;197.6;47490.0;530.0;;200.0;197.6
499;200.0;198.0;47650.0;532.0;;200.0;198.0
500;200.0;198.0;47890.0;535.0;;200.0;198.0
